deliveryDate,deliveryHour,deliveryInterval,settlementPoint,settlementPointType,settlementPointPrice,DSTFlag
2026-01-02,11,4,HB_SOUTH,HU,-2.24,False
2026-01-02,12,1,HB_SOUTH,HU,-2.1,False
2026-01-02,12,2,HB_SOUTH,HU,-2.0,False
2026-01-02,12,3,HB_SOUTH,HU,-2.0,False
2026-01-02,12,4,HB_SOUTH,HU,-1.99,False
2026-01-02,13,1,HB_SOUTH,HU,-1.9,False
2026-01-02,13,2,HB_SOUTH,HU,-1.51,False
2026-01-02,13,3,HB_SOUTH,HU,-0.8,False
2026-01-02,13,4,HB_SOUTH,HU,-0.47,False
2026-01-02,14,1,HB_SOUTH,HU,-0.68,False
2026-01-02,14,2,HB_SOUTH,HU,-0.22,False
2026-01-02,14,3,HB_SOUTH,HU,-0.37,False
2026-01-02,14,4,HB_SOUTH,HU,-0.28,False
2026-01-02,15,1,HB_SOUTH,HU,0.78,False
2026-01-02,15,2,HB_SOUTH,HU,1.84,False
2026-01-02,15,3,HB_SOUTH,HU,1.47,False
2026-01-02,15,4,HB_SOUTH,HU,1.59,False
2026-01-02,16,1,HB_SOUTH,HU,1.32,False
2026-01-02,16,2,HB_SOUTH,HU,1.08,False
2026-01-02,16,3,HB_SOUTH,HU,2.28,False
2026-01-02,16,4,HB_SOUTH,HU,5.45,False
2026-01-02,17,1,HB_SOUTH,HU,5.68,False
2026-01-02,17,2,HB_SOUTH,HU,11.81,False
2026-01-02,17,3,HB_SOUTH,HU,23.45,False
2026-01-02,17,4,HB_SOUTH,HU,26.96,False
2026-01-02,18,1,HB_SOUTH,HU,23.25,False
2026-01-02,18,2,HB_SOUTH,HU,23.96,False
2026-01-02,18,3,HB_SOUTH,HU,23.89,False
2026-01-02,18,4,HB_SOUTH,HU,23.13,False
2026-01-02,19,1,HB_SOUTH,HU,22.68,False
2026-01-02,19,2,HB_SOUTH,HU,21.85,False
2026-01-02,19,3,HB_SOUTH,HU,21.3,False
2026-01-02,19,4,HB_SOUTH,HU,20.27,False
2026-01-02,20,1,HB_SOUTH,HU,20.49,False
2026-01-02,20,2,HB_SOUTH,HU,17.78,False
